State,zipcode,Mean Income,Estimated Investments,Home_Value
KS,66007,"99,015.13","45,945","416,468"
KS,66008,"87,216.67",17333,"194,328"
KS,66010,"59,225.00",7833,"203,812"
KS,66012,"78,303.48","30,180","321,213"
KS,66013,"203,734.78","194,884","656,616"
KS,66014,"64,311.77",5059,
KS,66015,"57,923.53",14529,"138,655"
KS,66016,"77,042.31",13923,"286,900"
KS,66017,"94,438.46",34308,
KS,66018,"98,134.58","41,838","393,658"
KS,66020,"83,230.14","27,534","392,668"
KS,66021,"80,203.25",15285,"291,805"
KS,66023,"64,623.91",20739,"196,081"
KS,66025,"81,451.40","31,441","307,286"
KS,66026,"67,956.67",13867,"313,759"
KS,66027,"87,842.66","21,217",
KS,66030,"75,503.45","20,887","336,065"
KS,66032,"63,214.93","30,154","165,650"
KS,66033,"64,988.24",17118,"199,883"
KS,66035,"73,953.66",18244,"136,550"
KS,66039,"58,107.69",5385,
KS,66040,"64,242.01","22,284","128,702"
KS,66041,"78,360.00",31143,"204,397"
KS,66042,"63,774.29",45086,"265,395"
KS,66043,"78,189.56","34,014","304,087"
KS,66044,"67,480.69","77,794","259,236"
KS,66046,"59,667.50","32,057","271,911"
KS,66047,"93,145.08","100,305","333,472"
KS,66048,"67,698.97","29,400","239,835"
KS,66049,"98,115.89","102,455","369,562"
KS,66050,"81,802.33","39,605","364,576"
KS,66052,"89,060.19","47,107","429,340"
KS,66053,"109,740.87","88,504","391,812"
KS,66054,"71,683.46","18,782","322,511"
KS,66056,"58,469.51",22122,"98,898"
KS,66058,"58,626.67",12667,
KS,66060,"68,104.35",15391,"169,513"
KS,66061,"106,895.10","66,795","398,218"
KS,66062,"100,523.58","58,375","403,497"
KS,66064,"58,707.63","11,815","182,092"
KS,66066,"71,831.71","27,740","279,328"
KS,66067,"62,300.81","25,620","208,115"
KS,66070,"78,347.83","21,443","223,517"
KS,66071,"91,969.32","49,483","345,285"
KS,66072,"63,703.92",11490,"289,953"
KS,66073,"76,620.72","34,324","263,010"
KS,66075,"53,898.89",11711,"134,400"
KS,66076,"63,781.19",7604,"261,058"
KS,66078,"68,323.81",7286,"321,599"
KS,66079,"74,205.72",6629,"309,631"
KS,66080,"60,964.00",9240,"213,003"
KS,66083,"102,483.44","45,579","418,121"
KS,66085,"191,215.85","227,426","627,602"
KS,66086,"86,165.90","35,819","360,387"
KS,66087,"69,941.57",15056,"146,932"
KS,66088,"71,800.00","24,229","222,859"
KS,66090,"68,068.38","19,966","163,574"
KS,66091,"45,800.00",571,
KS,66092,"78,181.63","31,449","316,846"
KS,66093,"69,123.08",13000,"234,438"
KS,66094,"54,405.27",1263,"124,428"
KS,66095,"56,881.40",11070,"241,131"
KS,66097,"71,591.11",15511,"231,178"
KS,66101,"36,942.13",3361,"117,366"
KS,66102,"40,576.11","4,680","142,652"
KS,66103,"48,959.68","7,642","190,493"
KS,66104,"41,215.28","3,321","154,745"
KS,66105,"36,100.00",61,"106,373"
KS,66106,"48,849.95","9,722","191,825"
KS,66109,"79,074.92","26,788","312,938"
KS,66111,"56,795.86","9,835","239,603"
KS,66112,"48,823.03","6,128","226,280"
KS,66202,"72,686.11","41,154","303,240"
KS,66203,"65,518.32","26,468","302,912"
KS,66204,"67,206.73","28,147","291,618"
KS,66205,"168,538.65","282,559","367,672"
KS,66206,"285,235.04","445,992","687,113"
KS,66207,"180,909.46","310,559","471,124"
KS,66208,"249,642.11","617,652","450,694"
KS,66209,"200,431.06","339,976","630,877"
KS,66210,"91,993.02","76,461","422,829"
KS,66211,"374,091.64","982,283","639,801"
KS,66212,"75,205.93","55,310","334,906"
KS,66213,"122,983.03","104,171","524,653"
KS,66214,"72,460.89","51,580","360,769"
KS,66215,"85,446.84","87,029","371,835"
KS,66216,"105,270.16","75,466","385,031"
KS,66217,"166,582.05","288,366","545,178"
KS,66218,"127,732.65","70,443","453,866"
KS,66219,"96,006.40","60,060","432,821"
KS,66220,"238,493.36","225,659","632,934"
KS,66221,"252,255.56","260,656","764,719"
KS,66223,"131,512.27","145,213","472,492"
KS,66224,"337,670.41","565,014","756,917"
KS,66226,"149,724.50","73,476","465,383"
KS,66227,"145,818.24","101,776","540,284"
KS,66401,"76,453.93","55,843","271,519"
KS,66402,"100,186.52","87,206","274,316"
KS,66403,"73,200.00",35029,"198,341"
KS,66404,"99,044.00",48640,
KS,66406,"67,685.00",15200,"129,149"
KS,66407,"70,204.00",22480,"250,542"
KS,66408,"96,036.37",80818,"206,443"
KS,66409,"95,248.15","71,802","361,953"
KS,66411,"58,158.18",30145,"89,590"
KS,66412,"65,218.75",20125,
KS,66413,"57,517.44",10558,"181,024"
KS,66414,"62,222.22",13063,"192,726"
KS,66415,"85,035.14",29784,"170,254"
KS,66416,"74,666.67",13143,"226,249"
KS,66417,"87,947.37",6526,
KS,66418,"64,792.00",1360,"243,645"
KS,66419,"57,229.41",824,"150,762"
KS,66422,"53,960.87",2609,
KS,66423,"59,870.00",8250,"157,921"
KS,66424,"71,242.31",15538,"141,587"
KS,66425,"63,427.27",26364,"159,569"
KS,66427,"89,521.67","72,333","144,797"
KS,66428,"76,293.75",40625,
KS,66429,"58,200.00",7500,"224,470"
KS,66431,"58,234.38",4313,"212,262"
KS,66432,"69,394.45",10889,
KS,66434,"72,683.49","31,183","149,897"
KS,66436,"67,906.74","38,674","205,723"
KS,66438,"61,986.67",8533,
KS,66439,"51,339.81",10333,"91,156"
KS,66440,"74,437.11",13691,"266,492"
KS,66441,"53,139.00","18,945","182,504"
KS,66442,"47,032.71",1652,
KS,66449,"68,300.00",16057,"199,988"
KS,66451,"69,811.11",12247,"202,185"
KS,66502,"65,765.00","53,804","244,082"
KS,66503,"115,839.18","116,688","336,533"
KS,66507,"75,441.67",25667,"276,020"
KS,66508,"69,812.20","56,098","132,469"
KS,66509,"59,415.04",8460,"278,537"
KS,66510,"64,684.38",9250,"180,027"
KS,66512,"74,110.98","17,366","269,455"
KS,66514,"76,689.47",19263,"295,004"
KS,66515,"72,131.58",37158,
KS,66516,"61,787.50",12500,"181,994"
KS,66517,"48,184.62",1436,"149,405"
KS,66520,"83,737.50",30563,"272,593"
KS,66521,"67,301.47",20412,"173,981"
KS,66523,"61,451.18","28,671","169,184"
KS,66524,"69,706.50","34,927","273,987"
KS,66526,"63,405.56",7722,"249,609"
KS,66528,"57,512.50",3563,"191,514"
KS,66531,"71,426.56",15750,"203,530"
KS,66532,"72,324.00",15760,"142,697"
KS,66533,"73,275.00",22625,"218,365"
KS,66534,"199,838.73","376,601","173,130"
KS,66535,"83,371.52","33,735","337,061"
KS,66536,"75,085.21","22,604","255,277"
KS,66537,"65,163.64",14273,"220,630"
KS,66538,"85,915.85","114,220","231,640"
KS,66539,"91,650.37","53,867","264,905"
KS,66540,"62,295.46",5091,"252,394"
KS,66542,"83,685.88","46,373","296,599"
KS,66543,"70,741.18",5824,"216,141"
KS,66544,"78,352.94",68235,"147,174"
KS,66546,"83,094.64","41,714","302,799"
KS,66547,"87,902.19","57,893","282,571"
KS,66548,"69,918.18",20091,"121,292"
KS,66549,"69,264.47",19605,"253,499"
KS,66550,"65,452.18",58783,"164,365"
KS,66552,"59,955.56",4000,"164,613"
KS,66554,"79,760.87",42087,"272,139"
KS,66603,"40,113.56",4441,"66,485"
KS,66604,"57,397.26","50,366","154,031"
KS,66605,"54,575.96","22,483","149,832"
KS,66606,"56,339.02","38,808","133,741"
KS,66607,"33,108.91",1908,"68,163"
KS,66608,"38,918.32",5977,"99,020"
KS,66609,"59,853.78","15,670","239,086"
KS,66610,"137,502.40","156,692","377,914"
KS,66611,"60,768.57","80,359","152,680"
KS,66612,"34,503.75",5500,"66,605"
KS,66614,"78,679.22","65,189","231,751"
KS,66615,"88,036.21","65,322","304,640"
KS,66616,"40,599.23",4153,"100,318"
KS,66617,"74,621.23","34,845","264,416"
KS,66618,"93,888.42","54,509","295,999"
KS,66619,"45,773.19",4754,"128,634"
KS,66701,"56,543.20","30,836","117,414"
KS,66710,"60,746.43",7000,"75,370"
KS,66711,"51,709.53",3143,
KS,66712,"54,814.63",13195,"116,418"
KS,66713,"56,485.25","20,267","97,576"
KS,66716,"45,421.05",4421,
KS,66717,"52,100.00",11700,"76,670"
KS,66720,"55,881.62","31,479","83,211"
KS,66724,"54,481.40",9907,"100,209"
KS,66725,"59,105.29","24,969","114,094"
KS,66732,"45,681.82",909,
KS,66733,"61,355.17",20966,"121,236"
KS,66734,"65,986.67",12800,"203,542"
KS,66735,"55,128.57",1048,"130,574"
KS,66736,"65,004.08","35,020","93,388"
KS,66738,"47,258.83",1176,
KS,66739,"52,850.74","10,680","104,581"
KS,66740,"53,577.78",6222,
KS,66743,"61,419.27","36,813","138,893"
KS,66746,"55,870.00",2600,
KS,66748,"60,446.28","88,612","103,618"
KS,66749,"52,763.22","28,304","91,611"
KS,66751,"41,930.00",9133,"69,779"
KS,66753,"61,669.57",16696,"138,573"
KS,66754,"49,522.22",2889,
KS,66755,"58,438.30",12723,"118,940"
KS,66756,"56,061.54",5333,"71,250"
KS,66757,"52,480.29","23,387","87,653"
KS,66762,"68,530.13","78,659","124,241"
KS,66763,"64,211.69","48,948","158,238"
KS,66767,"54,072.22",4556,"130,143"
KS,66769,"50,240.00",4900,
KS,66770,"65,266.67",22042,"156,605"
KS,66771,"66,639.02",13951,"147,191"
KS,66772,"42,023.08",615,
KS,66773,"73,680.00",33333,"76,917"
KS,66776,"53,581.48",7481,"163,703"
KS,66777,"54,085.00",18800,"78,503"
KS,66779,"57,871.43",8786,"168,994"
KS,66780,"53,224.00",6720,
KS,66781,"60,419.57",14565,"100,927"
KS,66783,"54,702.04",20020,"97,672"
KS,66801,"59,445.86","40,019","161,412"
KS,66830,"65,361.54",4615,"186,425"
KS,66833,"58,550.00",15714,"168,780"
KS,66834,"63,915.00",16400,"172,442"
KS,66835,"61,850.91",12691,"170,443"
KS,66839,"74,978.38","31,449","172,605"
KS,66840,"67,374.19",8581,"190,415"
KS,66842,"74,107.70",923,
KS,66845,"63,336.96",23304,"112,123"
KS,66846,"76,597.40","56,351","170,316"
KS,66849,"63,877.27",11091,"118,629"
KS,66851,"51,400.00",7524,"56,669"
KS,66852,"72,233.33",9778,"163,778"
KS,66853,"49,852.94",4824,
KS,66854,"60,222.22",3667,"147,657"
KS,66856,"85,946.48","52,648","200,545"
KS,66857,"63,687.50",25200,"125,158"
KS,66858,"64,021.05",3368,"115,942"
KS,66860,"63,607.69",21538,"91,932"
KS,66861,"67,159.29","45,757","134,017"
KS,66864,"63,605.26",4947,"159,953"
KS,66865,"72,140.00",19800,"258,693"
KS,66866,"66,389.39",14242,"107,453"
KS,66868,"69,955.17",19586,"221,650"
KS,66869,"62,610.00",13200,"92,789"
KS,66871,"71,848.28",13138,"200,636"
KS,66872,"62,433.33",12615,"129,448"
KS,66873,"47,928.57",1000,"100,838"
KS,66901,"62,407.09","40,403","113,146"
KS,66933,"54,180.00",7200,
KS,66935,"58,575.83","27,433","95,163"
KS,66936,"76,069.23",13538,"80,194"
KS,66937,"76,313.51",21351,"112,825"
KS,66938,"69,538.64",26864,"115,129"
KS,66939,"74,034.62",19692,"132,572"
KS,66940,"50,153.85",3692,"94,472"
KS,66941,"76,358.34",35833,
KS,66943,"67,055.56",14667,"127,425"
KS,66945,"75,670.00",32440,"169,710"
KS,66948,"58,785.72",27333,"87,496"
KS,66949,"57,996.30",18222,"78,317"
KS,66951,"67,262.86","66,743","103,025"
KS,66952,"69,773.68",12316,
KS,66953,"73,344.45",50667,"173,744"
KS,66956,"55,596.36",33418,"84,812"
KS,66958,"50,781.82",4182,
KS,66962,"79,626.67",36533,
KS,66966,"65,182.14",23143,"115,411"
KS,66967,"63,669.31","46,178","92,397"
KS,66968,"60,709.09",22104,"132,482"
KS,67001,"117,124.72","29,843","355,369"
KS,67002,"125,727.66","86,962","321,610"
KS,67003,"59,761.11","35,056","73,820"
KS,67004,"55,319.44",16833,"123,953"
KS,67005,"56,105.38","23,072","92,629"
KS,67008,"57,568.42",11053,
KS,67009,"60,503.33",29733,"69,290"
KS,67010,"69,696.31","40,045","211,437"
KS,67013,"67,492.70",12496,"165,159"
KS,67017,"106,645.69","58,983","320,049"
KS,67019,"61,271.43",6400,"125,816"
KS,67020,"73,285.33",18053,"155,961"
KS,67022,"59,981.67",18700,"73,986"
KS,67024,"51,733.33",5111,
KS,67025,"92,528.73","38,895","251,175"
KS,67026,"84,805.07","38,553","259,186"
KS,67029,"55,982.22",23067,"70,038"
KS,67030,"109,438.24","73,971","292,609"
KS,67031,"71,079.38","21,876","182,740"
KS,67035,"72,545.00",34500,"171,739"
KS,67037,"80,405.87","40,504","270,753"
KS,67038,"60,876.19",6000,
KS,67039,"74,901.35","34,027","237,882"
KS,67042,"61,638.22","36,093","156,758"
KS,67045,"60,175.18","30,380","75,817"
KS,67047,"57,446.43",7929,"78,187"
KS,67050,"93,238.30","31,979","317,163"
KS,67051,"81,258.83",28000,
KS,67052,"107,866.29","56,548","300,847"
KS,67054,"71,909.09",17600,"168,840"
KS,67056,"69,161.81","25,125","187,632"
KS,67058,"64,953.09",20765,"94,028"
KS,67059,"72,422.86",19143,"114,619"
KS,67060,"61,890.70","14,518","199,264"
KS,67062,"81,893.41","45,626","233,401"
KS,67063,"95,723.87","49,974","145,960"
KS,67066,"74,823.08",37846,"127,831"
KS,67067,"92,943.27","40,962","274,980"
KS,67068,"64,752.91","35,577","128,193"
KS,67070,"70,216.67",37524,"60,015"
KS,67073,"57,392.31",6154,
KS,67074,"66,065.71",19857,"224,841"
KS,67101,"95,441.16","70,894","297,681"
KS,67103,"68,128.57",3143,
KS,67104,"68,010.78","34,882","75,096"
KS,67106,"75,610.00",21900,"238,098"
KS,67107,"93,500.69","182,403","218,145"
KS,67108,"74,573.08","36,436","223,624"
KS,67109,"73,492.31",20154,"91,278"
KS,67110,"73,566.50","28,939","220,182"
KS,67111,"67,600.00",42133,
KS,67112,"71,950.00",18800,
KS,67114,"62,563.89","35,420","158,230"
KS,67117,"83,204.94","125,210","227,885"
KS,67118,"64,300.00",15459,"177,911"
KS,67119,"69,913.12",22623,"144,114"
KS,67120,"77,231.43",22114,"289,401"
KS,67123,"63,817.24",6138,"127,925"
KS,67124,"71,267.23","65,927","115,984"
KS,67127,"69,962.96",33185,"75,463"
KS,67131,"74,300.00",909,
KS,67132,"57,773.34",2000,
KS,67133,"86,954.72","41,498","265,459"
KS,67134,"96,706.25",25375,"129,085"
KS,67135,"80,515.23","18,715","235,365"
KS,67137,"55,186.37",9273,"88,461"
KS,67138,"66,100.00",15111,
KS,67140,"63,342.43",11212,"119,022"
KS,67142,"63,273.34",15600,
KS,67144,"79,851.88","27,805","235,698"
KS,67146,"70,967.44","27,953","207,708"
KS,67147,"85,001.43","48,257","262,800"
KS,67149,"106,527.45","46,745","374,148"
KS,67151,"77,585.00",28600,"154,133"
KS,67152,"60,169.74","21,318","99,278"
KS,67154,"78,361.29","34,806","233,547"
KS,67156,"66,714.43","39,416","124,902"
KS,67202,"80,118.26","107,043","291,139"
KS,67203,"49,739.51","18,565","153,155"
KS,67204,"69,965.78","54,633","181,240"
KS,67205,"130,767.09","119,507","354,275"
KS,67206,"210,414.64","573,490","351,073"
KS,67207,"59,113.66","26,699","228,431"
KS,67208,"66,561.12","50,301","161,880"
KS,67209,"73,201.51","33,251","243,631"
KS,67210,"51,042.54","8,613","216,422"
KS,67211,"39,103.42","6,016","111,406"
KS,67212,"65,152.08","32,577","225,231"
KS,67213,"39,545.29","10,717","109,104"
KS,67214,"33,031.64",2486,"83,087"
KS,67215,"79,045.98","18,932","252,231"
KS,67216,"41,960.24","5,531","128,182"
KS,67217,"46,001.51","7,585","155,358"
KS,67218,"51,262.71","28,958","141,284"
KS,67219,"58,952.91","13,315","168,830"
KS,67220,"65,522.78","27,056","238,176"
KS,67223,"119,951.85","88,889","424,070"
KS,67226,"105,764.44","102,793","313,718"
KS,67227,"114,786.37",28364,"465,244"
KS,67228,"221,879.81","166,404","468,227"
KS,67230,"191,329.17","224,897","425,299"
KS,67232,"107,407.69",35231,"427,363"
KS,67235,"111,617.40","72,901","345,104"
KS,67301,"59,952.15","36,102","100,767"
KS,67330,"59,317.14",11114,"124,234"
KS,67333,"57,120.72",11550,"83,388"
KS,67335,"53,414.60","17,401","84,900"
KS,67336,"41,818.52",6037,"59,869"
KS,67337,"56,248.87","40,396","73,638"
KS,67341,"51,843.75",1375,
KS,67342,"67,677.78",13222,"132,511"
KS,67344,"63,129.41",6235,"163,489"
KS,67346,"56,720.00",10267,
KS,67347,"69,777.78",6667,"154,747"
KS,67349,"59,865.79",20632,"72,130"
KS,67351,"72,331.25",10250,
KS,67352,"48,329.41",3176,
KS,67353,"44,442.86",8476,"57,624"
KS,67354,"53,554.84",2968,"126,283"
KS,67356,"63,231.73",18558,"91,056"
KS,67357,"52,847.52","44,088","69,277"
KS,67360,"46,484.62",769,
KS,67361,"65,305.63","65,324","62,898"
KS,67401,"66,228.51","52,268","166,294"
KS,67410,"68,985.68","38,872","169,759"
KS,67416,"75,025.93",16185,"235,032"
KS,67420,"73,659.13","46,817","149,005"
KS,67422,"72,821.88",23844,"222,408"
KS,67423,"49,008.34",1000,"97,098"
KS,67425,"79,683.33",16333,"199,895"
KS,67427,"63,938.46",20000,"62,387"
KS,67428,"69,436.36",12212,"182,781"
KS,67430,"58,713.33",21733,"98,503"
KS,67431,"68,277.27","22,655","222,954"
KS,67432,"65,059.93","59,054","129,473"
KS,67436,"64,830.77",18846,"93,677"
KS,67437,"63,409.43","41,887","72,756"
KS,67438,"51,835.72",2143,
KS,67439,"65,738.64","48,803","137,751"
KS,67441,"57,188.89",6800,"133,396"
KS,67443,"80,630.23",18953,"261,569"
KS,67444,"62,013.64",11455,"95,477"
KS,67445,"50,882.76",14552,"74,477"
KS,67446,"77,050.00",21571,"136,600"
KS,67447,"67,333.34",10167,
KS,67448,"69,408.33",25933,"206,355"
KS,67449,"54,875.61",13480,"76,346"
KS,67450,"86,162.50","147,500","66,006"
KS,67451,"69,839.02",30341,"177,689"
KS,67454,"56,806.90",12345,"93,958"
KS,67455,"63,867.09",19342,"106,400"
KS,67456,"72,950.00","57,434","212,614"
KS,67457,"71,689.19",10486,"134,351"
KS,67458,"62,254.55",1273,
KS,67460,"78,093.21","47,834","202,014"
KS,67464,"73,293.62",16723,"136,268"
KS,67466,"52,917.24",18069,"84,415"
KS,67467,"63,722.83","26,614","146,264"
KS,67468,"59,507.15",38571,
KS,67470,"76,217.39",18696,"227,047"
KS,67473,"73,780.28","38,310","75,130"
KS,67480,"71,073.33",22427,"168,516"
KS,67481,"60,259.26",22667,"185,732"
KS,67483,"59,892.86",2286,
KS,67484,"65,010.53",32368,"147,841"
KS,67485,"78,940.00",40400,"152,799"
KS,67487,"60,496.72",14197,"202,658"
KS,67490,"66,725.00",22636,"89,053"
KS,67491,"72,316.67",13333,"235,884"
KS,67492,"45,600.00",1000,"105,585"
KS,67501,"44,053.70","11,411","88,443"
KS,67502,"82,944.01","95,342","200,428"
KS,67505,"51,056.20","17,934","137,560"
KS,67510,"48,907.69",8615,
KS,67511,"55,766.67",11867,"107,474"
KS,67514,"58,383.33",10533,"125,123"
KS,67516,"60,889.48",4526,"59,862"
KS,67520,"67,012.50",30250,"63,753"
KS,67522,"77,653.76","29,011","189,430"
KS,67523,"73,086.67",11067,"71,369"
KS,67524,"63,437.50",22583,"53,974"
KS,67525,"95,253.06","78,816","120,062"
KS,67526,"68,560.34","45,345","114,696"
KS,67529,"71,346.16",2154,
KS,67530,"69,100.00","63,178","112,404"
KS,67543,"66,407.22","27,959","172,309"
KS,67544,"63,646.90","28,041","86,927"
KS,67546,"78,669.57","40,383","242,145"
KS,67547,"67,511.54","42,821","67,933"
KS,67548,"63,631.88","49,710","78,810"
KS,67550,"60,353.48","32,243","90,750"
KS,67552,"71,748.28",14345,"92,010"
KS,67554,"61,148.85","27,345","88,379"
KS,67556,"49,746.16",3692,"55,195"
KS,67557,"50,431.04",15655,"62,505"
KS,67560,"78,415.07","73,452","97,356"
KS,67561,"55,675.00",11719,"108,079"
KS,67563,"78,126.67",11733,"123,731"
KS,67564,"63,606.67",20667,
KS,67565,"56,136.84",7158,"66,615"
KS,67566,"52,430.00",15667,"185,230"
KS,67567,"64,942.11",6947,"63,263"
KS,67568,"45,557.15",2143,
KS,67570,"62,468.85","34,295","160,782"
KS,67572,"79,423.53",22941,"87,227"
KS,67575,"56,652.38",12762,"79,585"
KS,67576,"64,960.00","43,075","106,602"
KS,67578,"69,137.50","43,214","69,772"
KS,67579,"76,061.98","48,909","139,772"
KS,67581,"31,893.33",3200,
KS,67583,"60,473.68",14947,"78,960"
KS,67584,"75,709.09",19818,
KS,67601,"75,256.58","60,331","241,406"
KS,67621,"52,843.75",4875,
KS,67622,"53,447.62",15810,"86,654"
KS,67625,"57,240.00",4400,"72,148"
KS,67631,"69,360.00",3400,
KS,67634,"44,164.29",4143,
KS,67637,"68,032.26","33,339","156,391"
KS,67640,"67,468.00",13840,"120,710"
KS,67642,"62,548.05",17455,"89,679"
KS,67643,"55,080.00",11800,
KS,67645,"65,252.38",49048,"66,083"
KS,67646,"60,267.86",48429,"99,796"
KS,67647,"85,366.67",143000,
KS,67648,"53,695.00",10300,"73,907"
KS,67649,"42,223.08",1231,
KS,67650,"64,163.64",8182,"94,177"
KS,67651,"61,826.32",10947,"46,800"
KS,67653,"45,309.09",909,"80,377"
KS,67654,"70,368.48","47,539","102,252"
KS,67657,"53,205.88",13882,"107,606"
KS,67661,"63,767.33","55,840","109,385"
KS,67663,"62,040.52","37,293","112,834"
KS,67664,"57,569.23",6615,"127,936"
KS,67665,"62,476.11","65,867","99,066"
KS,67669,"67,983.54","48,785","103,300"
KS,67671,"70,729.63","33,654","201,586"
KS,67672,"67,460.53","34,088","117,167"
KS,67701,"76,486.35","49,242","176,326"
KS,67730,"112,406.49","74,416","128,687"
KS,67731,"68,578.57",18500,"130,518"
KS,67732,"73,203.85",20000,"145,527"
KS,67735,"65,080.51","34,178","133,023"
KS,67736,"101,120.00",53400,
KS,67737,"94,104.35",40000,"137,965"
KS,67738,"76,370.83",14417,"139,559"
KS,67740,"85,937.50","43,727","179,216"
KS,67741,"54,690.91",1273,
KS,67745,"77,030.77",16462,"97,628"
KS,67748,"73,755.93","56,220","149,555"
KS,67749,"64,234.02","33,979","95,267"
KS,67752,"78,617.19","49,625","143,228"
KS,67753,"68,145.00",22000,"123,985"
KS,67756,"65,922.22","36,778","160,517"
KS,67757,"73,195.46",21182,"140,569"
KS,67758,"74,122.22","61,244","117,556"
KS,67762,"95,145.46",19455,"143,666"
KS,67764,"69,793.75",7000,"107,654"
KS,67801,"66,515.69","22,875","205,724"
KS,67831,"80,327.91",36605,"66,305"
KS,67834,"66,707.32",33902,"139,827"
KS,67835,"78,803.62","32,493","215,337"
KS,67837,"97,859.46",14054,"209,603"
KS,67838,"66,012.82",20359,"152,009"
KS,67839,"67,700.00","36,866","101,732"
KS,67841,"70,015.39",2923,"154,548"
KS,67842,"70,938.89",7444,"149,667"
KS,67844,"73,578.57","194,524","112,897"
KS,67846,"69,308.95","39,285","225,446"
KS,67849,"63,315.79",13684,"110,206"
KS,67850,"107,858.34",126667,"97,825"
KS,67851,"70,819.35",12710,"233,229"
KS,67853,"83,277.14",28000,"249,966"
KS,67854,"70,392.98","39,579","129,776"
KS,67855,"82,800.00","91,237","137,497"
KS,67859,"74,445.46",28000,"139,750"
KS,67860,"79,212.20","38,813","192,976"
KS,67861,"75,464.89","47,128","135,244"
KS,67863,"71,020.00",39467,
KS,67864,"71,194.44",21444,"113,433"
KS,67865,"66,082.22",18622,"128,270"
KS,67867,"106,907.79","85,429","231,236"
KS,67869,"85,794.83","78,241","130,171"
KS,67870,"77,223.44",29219,"134,448"
KS,67871,"92,363.56","101,973","174,526"
KS,67876,"74,527.87","38,656","219,206"
KS,67877,"82,257.45","30,213","192,508"
KS,67878,"64,436.08","27,278","142,250"
KS,67879,"78,167.92","44,755","131,094"
KS,67880,"69,076.17","21,483","139,231"
KS,67882,"70,405.26",14105,"242,710"
KS,67901,"60,816.01","17,410","139,338"
KS,67950,"64,591.11","27,133","97,153"
KS,67951,"70,356.44","44,634","146,552"
KS,67952,"85,860.87",10957,"141,964"
KS,67954,"50,526.92",5538,"97,931"
KS,99999,"83,747.16","120,402",
KY,00000,"72,265.69","52,763",
KY,40003,"75,143.48","26,087","203,487"
KY,40004,"71,576.76","45,004","251,089"
KY,40006,"63,461.97","20,488","216,302"
KY,40007,"53,636.36",1455,
KY,40008,"66,365.99","16,386","236,832"
KY,40009,"51,476.92",5846,"165,811"
KY,40010,"112,577.78",52167,"484,515"
KY,40011,"64,955.86","22,000","215,421"
KY,40012,"54,088.89",1259,"192,907"
KY,40013,"76,023.67","29,233","292,418"
KY,40014,"116,230.66","82,819","437,716"
KY,40019,"58,849.14","31,440","207,703"
KY,40022,"140,194.00","104,040","441,214"
KY,40023,"141,119.16","82,942","501,082"
KY,40026,"162,370.61","216,416","476,079"
KY,40031,"89,945.27","45,405","369,801"
KY,40033,"58,094.41","32,322","197,628"
KY,40037,"60,380.74",13822,"216,565"
KY,40040,"48,668.00",7920,"216,605"
KY,40041,"135,800.00","1,178,968",
KY,40045,"60,043.17",13223,"200,847"
KY,40046,"65,430.49",4659,"240,067"
KY,40047,"77,669.37","18,896","300,428"
KY,40050,"60,391.55",23183,"197,415"
KY,40051,"57,042.92","21,217","186,432"
KY,40052,"56,829.17",250,"220,814"
KY,40055,"73,091.92","31,838","319,090"
KY,40056,"112,702.94","96,988","339,219"
KY,40057,"61,661.18","15,434","224,357"
KY,40059,"233,220.49","425,416","596,331"
KY,40060,"59,340.39",7192,"218,397"
KY,40062,"56,683.33", -   ,"211,660"
KY,40065,"74,453.39","42,263","289,654"
KY,40067,"133,137.96","176,956","375,984"
KY,40068,"92,624.62","51,477","377,726"
KY,40069,"62,389.38","39,649","230,664"
KY,40070,"67,369.23",3615,"241,261"
KY,40071,"82,086.62","24,787","333,293"
KY,40075,"65,257.69",19577,"229,803"
KY,40076,"71,105.56","28,111","282,842"
KY,40077,"91,614.82",20370,"321,328"
KY,40078,"53,239.05",8476,"218,395"
KY,40104,"57,066.00",5960,"184,526"
KY,40107,"67,693.94",11051,"236,184"
KY,40108,"76,918.79","37,599","263,221"
KY,40109,"67,503.39","18,237","273,242"
KY,40111,"50,582.46",7754,"92,300"
KY,40115,"53,810.00",4333,"175,728"
KY,40117,"61,987.79",10595,"237,379"
KY,40118,"47,731.52","6,032","187,850"
KY,40119,"61,386.52",20966,"170,042"
KY,40121,"67,972.18",7653,
KY,40140,"52,944.12",2000,"168,496"
KY,40142,"68,405.05",8404,"223,462"
KY,40143,"61,639.59","30,278","170,586"
KY,40144,"55,991.89",10757,"167,194"
KY,40145,"47,300.00",710,"126,219"
KY,40146,"55,455.56","43,951","147,833"
KY,40150,"59,511.56",7769,"219,184"
KY,40152,"67,176.92",9949,"163,075"
KY,40155,"36,076.92",205,"116,264"
KY,40157,"68,338.64",5864,"201,174"
KY,40160,"47,368.57","8,437","207,663"
KY,40162,"71,788.10","16,422","264,648"
KY,40165,"70,441.67","24,608","271,832"
KY,40170,"36,869.23",769,"91,884"
KY,40171,"50,836.36",545,"153,260"
KY,40175,"67,677.90","16,129","248,770"
KY,40176,"62,886.54",5731,"190,102"
KY,40177,"51,923.53",3265,"123,485"
KY,40178,"65,778.95",1368,"135,793"
KY,40202,"116,101.28","770,826","318,174"
KY,40203,"36,786.56","10,537","145,295"
KY,40204,"102,184.37","165,281","270,439"
KY,40205,"143,056.64","212,538","360,387"
KY,40206,"104,467.72","174,562","265,484"
KY,40207,"165,108.15","402,938","401,248"
