State,zipcode,Mean Income,Estimated Investments,Home_Value
AL,35206,"38,870.95","10,347","97,452"
AL,35207,"31,996.59",1003,"46,942"
AL,35208,"33,892.25",3849,"75,022"
AL,35209,"143,900.35","194,780","488,385"
AL,35210,"77,927.41","64,965","256,927"
AL,35211,"38,140.12","6,451","69,597"
AL,35212,"51,513.49","22,029","111,054"
AL,35213,"378,130.58","927,767","788,376"
AL,35214,"45,301.13","8,180","136,393"
AL,35215,"39,394.70","10,387","145,448"
AL,35216,"124,402.02","147,560","390,714"
AL,35217,"37,901.23","6,152","74,388"
AL,35218,"29,840.34",438,"66,017"
AL,35221,"32,697.48",553,"57,940"
AL,35222,"130,137.66","188,611","373,200"
AL,35223,"437,143.09","1,400,359","825,345"
AL,35224,"34,878.05",2985,"63,541"
AL,35226,"130,716.57","113,974","415,379"
AL,35228,"33,874.06",1282,"75,162"
AL,35233,"82,795.38","34,923","268,808"
AL,35234,"34,738.65",1804,"94,402"
AL,35235,"48,537.49","15,620","178,879"
AL,35242,"179,313.99","227,073","536,496"
AL,35243,"192,899.21","377,659","529,253"
AL,35244,"123,040.97","111,589","454,165"
AL,35401,"42,797.54","31,765","152,586"
AL,35404,"48,659.11","26,734","152,461"
AL,35405,"58,409.96","19,075","237,179"
AL,35406,"172,140.19","274,269","445,040"
AL,35441,"57,695.46",2409,
AL,35442,"42,964.16","22,474","89,916"
AL,35443,"33,175.76",2667,"100,691"
AL,35444,"64,509.30",2593,"186,502"
AL,35446,"58,231.82",6841,"185,716"
AL,35447,"51,280.17",10672,"137,933"
AL,35452,"66,634.55","17,927","199,529"
AL,35453,"58,470.12","9,637","186,409"
AL,35456,"55,747.54",10393,"167,573"
AL,35458,"64,708.34",750,
AL,35459,"47,693.33",1000,
AL,35460,"37,908.70", -   ,
AL,35461,"58,313.43",5701,"144,988"
AL,35462,"40,377.40","18,701","115,037"
AL,35463,"60,357.32",7366,"208,093"
AL,35464,"32,027.78", -   ,
AL,35466,"64,031.67","26,842","160,663"
AL,35469,"51,791.67",1000,
AL,35470,"57,123.35","17,114","144,754"
AL,35473,"71,287.03","31,404","258,172"
AL,35474,"59,118.18","6,952","222,899"
AL,35475,"100,337.42","72,617","313,916"
AL,35476,"48,614.06","16,638","170,019"
AL,35480,"69,577.33",6107,"244,770"
AL,35481,"48,477.05",11443,"114,941"
AL,35490,"67,339.20",4553,"212,895"
AL,35501,"53,665.75","25,890","149,158"
AL,35503,"64,495.94","19,467","198,312"
AL,35504,"82,167.33","47,840","243,408"
AL,35540,"61,394.74",7516,"166,646"
AL,35541,"84,378.23","40,381","423,561"
AL,35542,"56,024.45",3067,
AL,35543,"53,286.49",865,
AL,35544,"51,952.18",2087,
AL,35546,"60,955.41",5261,"171,578"
AL,35548,"51,128.07",2947,
AL,35549,"48,275.91",5285,"109,853"
AL,35550,"54,185.19",9228,"115,007"
AL,35552,"50,320.59",2647,"140,665"
AL,35553,"64,368.05","16,166","152,548"
AL,35554,"58,104.88",6049,"138,266"
AL,35555,"56,223.10","27,149","125,976"
AL,35563,"55,460.12","26,331","150,233"
AL,35564,"48,901.15",4046,"142,517"
AL,35565,"58,249.37","31,836","114,833"
AL,35570,"54,598.52","37,511","163,449"
AL,35571,"50,254.29",2343,"183,239"
AL,35572,"72,095.12",26537,"334,081"
AL,35574,"62,932.08",4453,"130,085"
AL,35575,"53,405.41",3081,"107,557"
AL,35576,"62,429.20",15717,"133,994"
AL,35578,"54,279.57",5151,"134,986"
AL,35579,"54,772.03",6763,"134,710"
AL,35580,"58,347.40",10143,"134,340"
AL,35581,"56,427.32",7124,"166,390"
AL,35582,"65,695.60","17,673","154,074"
AL,35585,"60,012.90",3516,"182,225"
AL,35586,"54,080.39","21,412","119,737"
AL,35587,"56,676.67",3467,
AL,35592,"57,520.71","15,834","122,069"
AL,35593,"55,798.55",4638,"166,946"
AL,35594,"68,035.91","34,792","165,666"
AL,35601,"57,010.83","44,336","166,740"
AL,35603,"82,395.13","54,073","272,779"
AL,35610,"60,593.67",8025,"215,450"
AL,35611,"61,487.56","28,588","234,949"
AL,35613,"102,833.25","48,408","341,381"
AL,35614,"60,840.43","20,182","247,957"
AL,35616,"56,605.71",10843,"128,223"
AL,35618,"50,274.32",8216,"144,235"
AL,35619,"68,870.14","15,900","228,738"
AL,35620,"64,207.35","14,460","256,632"
AL,35621,"68,285.25",7443,"223,205"
AL,35622,"59,303.16","11,684","198,693"
AL,35630,"61,357.42","53,104","159,960"
AL,35633,"67,588.84","29,191","226,180"
AL,35634,"102,742.13","105,281","272,963"
AL,35640,"81,796.75","25,766","234,628"
AL,35643,"52,141.98",6855,"194,401"
AL,35645,"85,803.24","49,676","264,221"
AL,35646,"58,755.62","18,596","148,166"
AL,35647,"61,873.47",7510,"247,753"
AL,35648,"67,367.28",9926,"210,292"
AL,35650,"62,199.30","13,603","215,385"
